,id,name,last_modified
221,1009226,Cargill,1969-12-31T19:00:00-0500
222,1011258,Carlie Cooper,2011-09-08T16:50:58-0400
223,1009688,Carmella Unuscione,1969-12-31T19:00:00-0500
224,1009227,Carnage,2016-02-18T12:28:26-0500
225,1010916,Carnage (Ultimate),1969-12-31T19:00:00-0500
226,1009261,Carol Danvers,2012-06-06T15:38:57-0400
227,1009344,Carol Hines,1969-12-31T19:00:00-0500
228,1011937,Carrion (Malcolm McBride),2021-08-18T22:59:28-0400
229,1009478,Cassandra Nova,1969-12-31T19:00:00-0500
230,1009230,Catseye,1969-12-31T19:00:00-0500
231,1009536,Cecilia Reyes,2010-11-18T11:57:51-0500
232,1010813,Celestials,1969-12-31T19:00:00-0500
233,1011039,Centennial,1969-12-31T19:00:00-0500
234,1011140,Centurions,1969-12-31T19:00:00-0500
235,1009231,Cerebro,1969-12-31T19:00:00-0500
236,1011141,Cerise,1969-12-31T19:00:00-0500
237,1009232,Ch'od,1969-12-31T19:00:00-0500
238,1009233,Chamber,2011-05-27T13:35:17-0400
239,1009234,Chameleon,1969-12-31T19:00:00-0500
240,1010756,Champions,1969-12-31T19:00:00-0500
241,1011015,Changeling,1969-12-31T19:00:00-0500
242,1009733,Charles Xavier,1969-12-31T19:00:00-0500
243,1011331,Charlie Campion,1969-12-31T19:00:00-0500
244,1012019,Charlie-27,2021-08-27T18:07:53-0400
245,1010754,Chase Stein,2010-11-18T12:06:36-0500
246,1011359,Chat,2010-11-30T15:45:40-0500
247,1009237,Chimera,1969-12-31T19:00:00-0500
248,1011411,Chores MacGillicudy,1969-12-31T19:00:00-0500
249,1011187,Christian Walker,1969-12-31T19:00:00-0500
250,1009238,Chronomancer,1969-12-31T19:00:00-0500
251,1012065,Chthon,2021-08-27T18:19:19-0400
252,1011270,ClanDestine,1969-12-31T19:00:00-0500
253,1009239,Clea,1969-12-31T19:00:00-0500
254,1014999,Clea (Ultimate),2012-07-11T09:35:14-0400
255,1010809,Clint Barton,1969-12-31T19:00:00-0500
256,1009241,Cloak,2013-11-20T17:06:28-0500
257,1010823,Cloud 9,2013-10-24T13:17:04-0400
258,1011286,Cobalt Man,1969-12-31T19:00:00-0500
259,1010676,Colleen Wing,2013-11-01T16:27:00-0400
260,1010798,Colonel America,1969-12-31T19:00:00-0500
261,1009243,Colossus,2016-02-11T10:06:50-0500
262,1010917,Colossus (Ultimate),2011-07-13T14:24:54-0400
263,1011410,Confederates of the Curious,1969-12-31T19:00:00-0500
264,1009245,Constrictor,1969-12-31T19:00:00-0500
265,1011407,Contessa (Vera Vidal),1969-12-31T19:00:00-0500
266,1010346,Controller,1969-12-31T19:00:00-0500
267,1009246,Cornelius,1969-12-31T19:00:00-0500
268,1009247,Corsair,2011-06-02T16:58:21-0400
269,1011353,Cosmo (dog),2014-07-24T15:14:21-0400
270,1011362,Cottonmouth,1969-12-31T19:00:00-0500
271,1009249,Count Nefaria,1969-12-31T19:00:00-0500
272,1009250,Countess,1969-12-31T19:00:00-0500
273,1011272,Crimson Crusader,1969-12-31T19:00:00-0500
274,1009251,Crimson Dynamo,2013-10-24T13:17:13-0400
275,1017323,Crimson Dynamo (Iron Man 3 - The Official Game),2013-09-18T11:05:28-0400
276,1011169,Crimson King,1969-12-31T19:00:00-0500
277,1009252,Crossbones,2011-09-26T11:36:46-0400
278,1009253,Crule,1969-12-31T19:00:00-0500
279,1009254,Crusher Hogan,1969-12-31T19:00:00-0500
280,1014991,Crusher Hogan (Ultimate),2012-07-10T19:27:37-0400
281,1009255,Crystal,2013-10-24T13:17:35-0400
282,1011268,Cuckoo,1969-12-31T19:00:00-0500
283,1009244,Curt Conners,1969-12-31T19:00:00-0500
284,1011174,Cuthbert,1969-12-31T19:00:00-0500
285,1009256,Cyber,1969-12-31T19:00:00-0500
286,1009257,Cyclops,2016-07-05T14:30:06-0400
287,1010918,Cyclops (Ultimate),2014-03-05T13:27:26-0500
288,1017473,Cyclops (X-Men: Battle of the Atom),2014-01-15T19:39:15-0500
289,1011385,Cypher,2011-02-28T16:06:26-0500
290,1011050,D'Ken Neramani,1969-12-31T19:00:00-0500
291,1009258,Dagger,2013-11-20T17:06:21-0500
292,1010774,Daily Bugle,-0001-11-30T00:00:00-0500
293,1010719,Daimon Hellstrom,2012-10-12T17:25:43-0400
294,1011001,Daken,2013-08-07T13:54:38-0400
295,1011333,Dakota North,1969-12-31T19:00:00-0500
296,1009259,Damage Control,2016-09-06T11:36:18-0400
297,1009453,Dani Moonstar,2013-08-06T23:17:59-0400
298,1010776,Danny Rand,2004-04-14T00:00:00-0400
299,1009262,Daredevil,2020-03-04T16:09:36-0500
300,1017292,Daredevil (LEGO Marvel Super Heroes),2013-09-12T17:29:45-0400
301,1017312,Daredevil (Marvel Heroes),2013-09-18T10:54:10-0400
302,1010919,Daredevil (Ultimate),2014-03-05T13:27:19-0500
303,1011306,Dargo Ktor,1969-12-31T19:00:00-0500
304,1011367,Dark Avengers,2013-10-17T14:57:14-0400
305,1010907,Dark Beast,2013-10-17T14:41:37-0400
306,1009265,Dark Phoenix,2011-04-22T14:26:50-0400
307,1011387,Dark X-Men,1969-12-31T19:00:00-0500
308,1011020,Darkhawk,2013-10-24T13:16:45-0400
309,1009266,Darkstar,1969-12-31T19:00:00-0500
310,1011016,Darwin,1969-12-31T19:00:00-0500
311,1009267,Dazzler,2016-04-11T13:42:29-0400
312,1010920,Dazzler (Ultimate),1969-12-31T19:00:00-0500
313,1010341,Deacon Frost,1969-12-31T19:00:00-0500
314,1011087,Dead Girl,1969-12-31T19:00:00-0500
315,1009268,Deadpool,2020-04-04T19:02:15-0400
316,1017316,Deadpool (Deadpool),2013-09-18T11:09:55-0400
317,1017336,Deadpool (LEGO Marvel Super Heroes),2013-09-18T15:06:33-0400
318,1017474,Deadpool (X-Men: Battle of the Atom),2014-01-15T19:40:09-0500
319,1009269,Death,2013-10-17T14:52:53-0400
320,1009270,Deathbird,1969-12-31T19:00:00-0500
321,1011037,Deathcry,2014-04-29T14:46:34-0400
322,1010890,Deathlok,2014-06-20T14:45:18-0400
323,1014997,Deathstrike (Ultimate),2012-07-11T09:19:40-0400
324,1009713,Debra Whitman,1969-12-31T19:00:00-0500
325,1010717,Debrii,1969-12-31T19:00:00-0500
326,1011188,Deena Pilgrim,1969-12-31T19:00:00-0500
327,1011023,Defenders,2016-02-10T11:11:18-0500
328,1011071,Demogoblin,2014-04-29T14:23:54-0400
329,1009271,Destiny,1969-12-31T19:00:00-0500
330,1009272,Detective Soap,1969-12-31T19:00:00-0500
331,1011107,Deviants,1969-12-31T19:00:00-0500
332,1017583,Devil Dinosaur (Devil Dinosaur),2015-01-08T14:38:06-0500
333,1017102,Devil Dinosaur (HAS),2013-09-18T15:53:16-0400
334,1011142,Devos,1969-12-31T19:00:00-0500
335,1011260,Dexter Bennett,1969-12-31T19:00:00-0500
336,1009273,Diablo,1969-12-31T19:00:00-0500
337,1009274,Diamondback (Rachel Leighton),2013-10-24T13:17:17-0400
338,1011040,Dinah Soar,1969-12-31T19:00:00-0500
339,1010997,Dirk Anger,1969-12-31T19:00:00-0500
340,1009275,Doc Samson,2013-10-18T17:32:38-0400
341,1009281,Doctor Doom,2016-06-22T12:07:32-0400
342,1011103,Doctor Doom (Ultimate),2014-03-05T13:27:13-0500
343,1011206,Doctor Faustus,1969-12-31T19:00:00-0500
344,1009276,Doctor Octopus,2013-11-20T17:05:53-0500
345,1010921,Doctor Octopus (Ultimate),1969-12-31T19:00:00-0500
346,1010689,Doctor Spectrum,2011-05-05T13:07:29-0400
347,1009282,Doctor Strange,2020-07-21T10:33:36-0400
348,1011358,Doctor Strange (Ultimate),2014-03-05T13:24:09-0500
349,1011500,Doctor Voodoo,2021-08-26T23:03:24-0400
350,1011235,Dog Brother #1,2011-05-26T17:53:17-0400
351,1009277,Domino,2014-10-17T17:55:54-0400
352,1010330,Donald Blake,2010-11-18T13:32:33-0500
353,1009278,Doomsday Man,1969-12-31T19:00:00-0500
354,1009279,Doop,2014-01-09T14:13:41-0500
355,1010879,Doorman,1969-12-31T19:00:00-0500
